	ENGINE_LOAD	RPM	SPEED	THROTTLE_POS	ACC_D	LABEL	TIME
0	22.7450980392	781.5	0.0	88.6274509804	14.5098039216	normal	225704640.0
1	23.137254902	782.0	0.0	88.6274509804	14.5098039216	normal	225704885.0
2	23.9215686275	779.5	0.0	88.6274509804	14.5098039216	normal	225705025.0
3	23.137254902	779.75	0.0	88.6274509804	14.5098039216	normal	225705186.0
4	23.5294117647	778.0	0.0	88.6274509804	14.5098039216	normal	225705323.0
5	23.137254902	783.25	0.0	88.6274509804	14.5098039216	normal	225705463.0
6	22.7450980392	777.5	0.0	88.6274509804	14.5098039216	normal	225705604.0
7	23.9215686275	782.25	0.0	88.6274509804	14.5098039216	normal	225705760.0
8	23.137254902	779.5	0.0	88.6274509804	14.5098039216	normal	225705910.0
9	23.9215686275	780.0	0.0	88.6274509804	14.5098039216	normal	225706043.0
10	23.9215686275	779.0	0.0	88.6274509804	14.5098039216	normal	225706187.0
11	23.9215686275	779.0	0.0	88.6274509804	14.5098039216	normal	225706323.0
12	23.9215686275	780.0	0.0	88.6274509804	14.5098039216	normal	225706423.0
13	23.137254902	779.0	0.0	88.6274509804	14.5098039216	normal	225706524.0
14	24.3137254902	781.0	0.0	88.6274509804	14.5098039216	normal	225706663.0
15	23.9215686275	779.5	0.0	88.6274509804	14.5098039216	normal	225706793.0
16	23.9215686275	779.25	0.0	88.6274509804	14.5098039216	normal	225706903.0
17	23.9215686275	783.0	0.0	88.6274509804	14.5098039216	normal	225707024.0
18	22.7450980392	779.25	0.0	88.6274509804	14.5098039216	normal	225707192.0
19	23.9215686275	779.5	0.0	88.6274509804	14.5098039216	normal	225707323.0
20	23.137254902	778.5	0.0	88.6274509804	14.5098039216	normal	225707464.0
21	23.9215686275	781.5	0.0	88.6274509804	14.5098039216	normal	225707603.0
22	23.9215686275	779.0	0.0	88.6274509804	14.5098039216	normal	225707760.0
23	24.3137254902	781.0	0.0	88.6274509804	14.5098039216	normal	225707903.0
24	23.9215686275	770.5	0.0	88.6274509804	14.5098039216	normal	225708049.0
25	25.8823529412	773.75	0.0	88.6274509804	14.5098039216	normal	225708185.0
26	27.0588235294	771.25	0.0	88.6274509804	14.5098039216	normal	225708324.0
27	25.4901960784	761.25	0.0	88.6274509804	14.5098039216	normal	225708498.0
28	30.1960784314	758.25	0.0	88.6274509804	14.5098039216	normal	225708649.0
29	32.1568627451	759.5	0.0	88.6274509804	14.5098039216	normal	225708783.0
30	33.3333333333	777.0	0.0	88.6274509804	14.5098039216	normal	225708885.0
31	31.7647058824	789.0	0.0	88.6274509804	14.5098039216	normal	225709023.0
32	28.6274509804	800.75	0.0	88.6274509804	14.5098039216	normal	225709124.0
33	25.8823529412	791.75	0.0	88.6274509804	14.5098039216	normal	225709268.0
34	25.0980392157	791.0	0.0	88.6274509804	14.5098039216	normal	225709444.0
35	23.5294117647	788.25	0.0	88.6274509804	14.5098039216	normal	225709550.0
36	24.7058823529	786.25	0.0	88.6274509804	14.5098039216	normal	225709684.0
37	24.7058823529	784.25	0.0	88.6274509804	14.5098039216	normal	225709852.0
38	24.7058823529	784.25	0.0	88.6274509804	14.5098039216	normal	225710013.0
39	24.7058823529	781.75	0.0	88.6274509804	14.5098039216	normal	225710124.0
40	24.7058823529	784.0	0.0	88.6274509804	14.5098039216	normal	225710265.0
41	24.3137254902	782.0	0.0	88.6274509804	14.5098039216	normal	225710404.0
42	25.0980392157	781.5	0.0	88.6274509804	14.5098039216	normal	225710528.0
43	24.7058823529	783.75	0.0	88.6274509804	14.5098039216	normal	225710667.0
44	24.7058823529	778.0	0.0	88.6274509804	14.5098039216	normal	225710823.0
45	25.4901960784	780.75	0.0	88.6274509804	14.5098039216	normal	225710924.0
46	25.8823529412	771.5	0.0	88.6274509804	14.5098039216	normal	225711084.0
47	26.6666666667	774.0	0.0	88.6274509804	14.5098039216	normal	225711223.0
48	27.4509803922	767.75	0.0	88.6274509804	14.5098039216	normal	225711364.0
49	28.6274509804	757.75	0.0	88.6274509804	14.5098039216	normal	225711480.0
50	32.5490196078	772.25	0.0	88.6274509804	14.5098039216	normal	225711607.0
51	32.5490196078	786.0	0.0	88.6274509804	14.5098039216	normal	225711764.0
52	24.3137254902	794.0	0.0	88.6274509804	14.5098039216	normal	225711910.0
53	23.9215686275	796.0	0.0	88.6274509804	20.7843137255	normal	225712046.0
54	22.7450980392	814.25	0.0	88.6274509804	24.3137254902	normal	225712187.0
55	34.1176470588	995.25	0.0	88.6274509804	26.6666666667	normal	225712338.0
56	53.3333333333	1112.75	0.0	88.6274509804	27.0588235294	normal	225712468.0
57	35.6862745098	1217.25	0.0	88.6274509804	27.0588235294	normal	225712622.0
58	36.4705882353	1336.75	0.0	88.6274509804	27.4509803922	normal	225712764.0
59	38.8235294118	1406.0	0.0	88.6274509804	27.4509803922	normal	225712890.0
60	29.8039215686	1395.25	0.0	88.6274509804	27.4509803922	normal	225713023.0
61	28.2352941176	1367.0	1.0	88.6274509804	27.4509803922	normal	225713164.0
62	26.6666666667	1318.25	1.0	88.6274509804	27.0588235294	normal	225713287.0
63	25.0980392157	1289.75	2.0	88.6274509804	27.0588235294	normal	225713428.0
64	24.7058823529	1203.0	3.0	88.6274509804	27.0588235294	normal	225713592.0
65	27.8431372549	1118.5	3.0	88.6274509804	27.0588235294	normal	225713722.0
66	32.5490196078	1111.75	4.0	88.6274509804	27.0588235294	normal	225713873.0
67	36.862745098	1117.25	4.0	88.6274509804	27.0588235294	normal	225714004.0
68	36.862745098	1112.5	5.0	88.6274509804	27.0588235294	normal	225714160.0
69	39.6078431373	1090.75	6.0	88.6274509804	27.0588235294	normal	225714303.0
70	41.568627451	1083.75	6.0	88.6274509804	27.0588235294	normal	225714425.0
71	42.7450980392	1087.75	7.0	88.6274509804	27.0588235294	normal	225714562.0
72	43.9215686275	1077.5	7.0	88.6274509804	27.0588235294	normal	225714723.0
73	44.7058823529	1090.0	8.0	88.6274509804	27.0588235294	normal	225714835.0
74	45.4901960784	1139.5	8.0	88.6274509804	25.0980392157	normal	225714985.0
75	41.9607843137	1157.75	8.0	88.6274509804	25.0980392157	normal	225715150.0
76	35.6862745098	1167.5	8.0	88.6274509804	25.8823529412	normal	225715285.0
77	34.1176470588	1164.25	8.0	88.6274509804	26.2745098039	normal	225715444.0
78	35.2941176471	1160.0	9.0	88.6274509804	26.6666666667	normal	225715549.0
79	34.5098039216	1149.5	9.0	88.6274509804	31.3725490196	normal	225715713.0
80	41.9607843137	1182.75	9.0	88.6274509804	34.9019607843	normal	225715864.0
81	50.1960784314	1217.75	9.0	88.6274509804	40.7843137255	normal	225716010.0
82	54.9019607843	1280.0	10.0	88.6274509804	42.3529411765	normal	225716163.0
83	58.431372549	1337.0	10.0	88.6274509804	43.5294117647	normal	225716304.0
84	58.8235294118	1390.5	11.0	88.6274509804	43.5294117647	normal	225716424.0
85	57.2549019608	1426.5	11.0	88.6274509804	43.5294117647	normal	225716565.0
86	53.3333333333	1438.5	12.0	88.6274509804	43.9215686275	normal	225716683.0
87	52.5490196078	1446.5	12.0	88.6274509804	45.0980392157	normal	225716784.0
88	54.9019607843	1481.25	13.0	88.6274509804	52.1568627451	normal	225716927.0
89	61.568627451	1433.0	14.0	88.6274509804	52.9411764706	normal	225717082.0
90	72.5490196078	1275.0	15.0	88.6274509804	52.9411764706	normal	225717232.0
91	74.1176470588	1351.75	16.0	88.6274509804	52.9411764706	normal	225717363.0
92	78.0392156863	1416.5	17.0	88.6274509804	53.7254901961	normal	225717530.0
93	79.2156862745	1523.75	18.0	88.6274509804	55.6862745098	normal	225717667.0
94	79.6078431373	1582.25	19.0	88.6274509804	60.3921568627	normal	225717802.0
95	79.6078431373	1670.25	20.0	88.6274509804	60.7843137255	normal	225717923.0
96	80.0	1722.75	20.0	88.6274509804	61.568627451	normal	225718024.0
97	83.137254902	1803.0	21.0	88.6274509804	62.3529411765	normal	225718168.0
98	87.0588235294	1914.5	22.0	88.6274509804	69.4117647059	normal	225718324.0
99	88.6274509804	2029.75	24.0	88.6274509804	70.9803921569	normal	225718464.0
100	90.5882352941	2123.25	25.0	88.6274509804	70.9803921569	normal	225718604.0
101	94.1176470588	2262.0	26.0	88.6274509804	70.9803921569	normal	225718739.0
102	98.0392156863	2383.0	28.0	88.6274509804	70.9803921569	normal	225718860.0
103	99.2156862745	2510.75	30.0	88.6274509804	70.9803921569	normal	225719008.0
104	99.6078431373	2696.25	31.0	88.6274509804	70.9803921569	normal	225719150.0
105	99.6078431373	2889.75	34.0	88.6274509804	70.9803921569	normal	225719288.0
106	100.0	3064.5	37.0	88.6274509804	70.9803921569	normal	225719422.0
107	99.6078431373	3235.75	36.0	88.6274509804	70.9803921569	normal	225719554.0
108	100.0	3339.25	38.0	88.6274509804	70.9803921569	normal	225719713.0
109	100.0	3500.5	38.0	88.6274509804	69.8039215686	normal	225719849.0
110	98.431372549	3544.75	42.0	88.6274509804	68.6274509804	normal	225720008.0
111	100.0	3538.75	43.0	88.6274509804	68.6274509804	normal	225720164.0
112	76.4705882353	3509.0	42.0	88.2352941176	69.0196078431	normal	225720303.0
113	76.862745098	3709.25	43.0	87.8431372549	68.6274509804	normal	225720453.0
114	96.0784313725	3760.75	44.0	87.8431372549	69.8039215686	normal	225720602.0
115	99.6078431373	3867.25	45.0	87.8431372549	70.1960784314	normal	225720723.0
116	98.8235294118	3943.75	46.0	88.2352941176	70.9803921569	normal	225720871.0
117	99.6078431373	4062.0	47.0	88.6274509804	74.1176470588	normal	225721032.0
118	99.6078431373	4141.25	49.0	88.6274509804	74.9019607843	normal	225721144.0
119	100.0	4216.0	49.0	88.6274509804	74.9019607843	normal	225721272.0
120	100.0	4281.75	50.0	88.6274509804	74.9019607843	normal	225721386.0
121	100.0	4372.25	51.0	88.6274509804	74.9019607843	normal	225721502.0
